name,species,longitude,latitude,year,base
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-86.25,-41.424314,2024,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-67.354613,-45.728028,2023,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-67.624102,-46.11032,2020,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-67.62449,-46.120601,2020,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-58.720538,-38.582213,2020,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-67.526573,-45.959976,2019,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2014,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2014,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2014,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2014,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-57.507,-38.327,2014,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-57.507,-38.327,2014,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-57.507,-38.327,2014,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-57.507,-38.327,2014,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-57.507,-38.327,2014,gbif
BOLD:ACY7592,Pleoticus muelleri,-57.507,-38.327,2014,gbif
BOLD:ACY7592,Pleoticus muelleri,-57.507,-38.327,2014,gbif
BOLD:ACY7592,Pleoticus muelleri,-57.507,-38.327,2014,gbif
BOLD:ACY7592,Pleoticus muelleri,-64.53239,-35.69727,2012,gbif
BOLD:ACY7592,Pleoticus muelleri,-64.53239,-35.69727,2012,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2012,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2012,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2012,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2012,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2012,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2011,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2011,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2011,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2011,gbif
BOLD:ACY7592,Pleoticus muelleri,-54.355206,-11.524631,2011,gbif
