name,species,lon,lat,year,base,presvals
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-67.354613,-45.728028,2023,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-58.720538,-38.582213,2020,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-67.526573,-45.959976,2019,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-57.507,-38.327,2014,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.333333,-46.766667,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.866667,-46.2,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.566667,-45.983333,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.887517,-45.91895,2005,gbif,-0.6253730058670044
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.45,-45.9,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.557,-45.886167,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.65,-45.733333,2005,gbif,-0.6253730058670044
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.166667,-45.533333,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.083333,-45.533333,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.983333,-45.466667,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-67.033333,-45.383333,2005,gbif,-0.17470134794712067
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.95,-45.383333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.983333,-45.383333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65,-45.383333,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.333333,-45.383333,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.916667,-45.283333,2005,gbif,-0.024477461352944374
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.95,-45.283333,2005,gbif,-0.024477461352944374
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.816667,-45.283333,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.716667,-45.283333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.85,-45.283333,2005,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.716667,-45.266667,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.7,-45.266667,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.916667,-45.266667,2005,gbif,-0.024477461352944374
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.816667,-45.266667,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.566667,-45.266667,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.416667,-45.266667,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.383333,-45.266667,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.4,-45.266667,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.65,-45.266667,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.816667,-45.25,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.85,-45.25,2005,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.716667,-45.25,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.7,-45.25,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.983333,-45.25,2005,gbif,-0.024477461352944374
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.65,-45.25,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.416667,-45.25,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.383333,-45.25,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.4,-45.233333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.416667,-45.233333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.383333,-45.233333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.816667,-45.233333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.4,-45.183333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.216667,-45.183333,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-45.183333,2005,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.12025,-45.138783,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-45.133333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.25,-45.133333,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.216667,-45.133333,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.15,-45.133333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.666667,-45.133333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.133333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.7,-45.133333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-45.133333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.75,-45.090083,2005,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.083333,2005,gbif,-0.2498132735490799
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.7,-45.083333,2005,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.866667,-45.083333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.666667,-45.083333,2005,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-45.083333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-45.083333,2005,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.65,-45.083333,2005,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.616667,-45.083333,2005,gbif,-0.3249252140522003
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.25,-45.083333,2005,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.233333,-45.083333,2005,gbif,-0.40003716945648193
